Supplier,internal_company_code,Risk Type,Overall Risk Level,Transparency Level,FRDM Score,countries,Country Risk Level,industries,Industry Risk Level,products,Product Risk Level,Spend Amount,Spend Level,Product Regulation,Industry Regulation,tags,supplier_id,name,topline_risk_score,frdm_score,transparency_score,all_country_risk_score,all_industry_risk_score,purchase_risk,created_at,created_at,id,parent_id,portal_in_url,address,all_alerts_count,Documents,Trade Partner Risk Level,trade_partner_risk
Officeworks,,human_rights,Elevated,Moderate Weak,25,AUS| CHN,High,Office Supplies and Stationery Stores| Office Supplies (except Paper) Manufacturing| Stationery and Office Supplies Merchant Wholesalers,Elevated,Ball point pens| Computer mouse| Facial tissues| Mouse pads| Mouse wrist rest| Paper clips| Paper pads or notebooks| Printer or copier paper| Printing and writing paper| Self adhesive note paper| Window envelopes,Moderate,1625.0,,Conflict Mineral| Deforestation| PFAS,Data Breach Vulnerability| Deforestation| UK MSA,Office Supplies,7108,Cricket Australia,1.0,25,0.332,0.65231,0.8715,0.5298202619491014,2020-02-29 10:37:13 UTC,2021-10-19 21:27:05 UTC,57,0,https://app.frdm.co/supplier_link/signin?linked_company_id=57&supplier_id=7108,"1341 DANDENONG ROAD| 149 MIDDLESEX TURNPIKE BURLINGTON MA01803 US| 149 MIDDLESEX TURNPIKE, BURLINGTON, USA| 236-262 EAST BOUNDARY ROAD, BENTLEIGH EAST VICTORIA 3165, AUSTRALIA, AU",0,,,
Pulse Innovations Limited,"",human_rights,Elevated,Moderate Weak,28,AUS,Low,"Other Professional, Scientific, and Technical Services| Software Publishers",Low,,,4505000.0,high,,Data Breach High Incident| Political Risk Liability,Digital| Game Related IT| IT Services| SAQ| Software Licenses & Subscriptions| Top50| Web Hosting,665872,Cricket Australia,1.0,28,0.228,0.09444,0.01,,2024-11-13 05:54:45 UTC,2024-11-13 05:54:45 UTC,57,0,https://app.frdm.co/supplier_link/signin?linked_company_id=57&supplier_id=665872,"40, Am Kaltenborn, Königstein im Taunus, DE, 61462",0,,High,1.0
ICare,"",human_rights,Elevated,Moderate Weak,38,AUS,Low,Direct Property and Casualty Insurance Carriers,Low,Workers compensation insurance,Low,71000.0,,,Political Risk Liability,Insurance,310075,Cricket Australia,0.97,38,0.28800000000000003,0.09444,0.01,0.09994345499358503,2021-10-19 20:22:48 UTC,2021-10-19 20:22:48 UTC,57,0,https://app.frdm.co/supplier_link/signin?linked_company_id=57&supplier_id=310075,"JEAN JACQUES ROUSSEAU RUE, SURESNES, 92150",0,,High,1.0
Samoa International Cricket Association,,human_rights,Elevated,Moderate Weak,31,WSM,Moderate,Professional Organizations,Low,,,38160.0,,,Data Breach High Incident| Data Breach Vulnerability,International Accommodation,310067,Cricket Australia,0.88,31,0.2,0.45584,0.01,,2021-10-19 20:21:21 UTC,2021-10-19 20:21:22 UTC,57,0,https://app.frdm.co/supplier_link/signin?linked_company_id=57&supplier_id=310067,,0,,Moderate High,0.6346153846153846
Belgravia Sports Apparel Pty Ltd,"",human_rights,Elevated,Moderate Weak,0,AUS| CHN,High,Apparel Manufacturing,Elevated,Customs uniforms,High,130000.0,medium,PFAS,CSDDD| PFAS| UK MSA| Water Pollution Direct| Water Pollution Supply Chain| Water Quantity Direct| Water Quantity Supply Chain,Apparel| Various Apparel & Equipment,524747,Cricket Australia,0.87,0,0.38,0.65231,1.0,0.7166762727143771,2022-10-19 03:54:25 UTC,2022-10-19 03:54:25 UTC,57,0,https://app.frdm.co/supplier_link/signin?linked_company_id=57&supplier_id=524747,"U33/170 FORSTER ROAD,MOUNT WAVERLEY, VIC 3149, AUSTRALIA, VIC 3149, AUSTRALIA, AUSTRAL, AU| UNIT 10 - 23 ASHTAN PLACE - BANYO, QLD 4014, AUSTRALIA, QLD 4014, AUSTRALIA, AUSTRAL, AU| UNIT 2, 1 DISCOVERY DRIVE, BIBRA LAKE WA 6163, BIBRA LAKE WA 6163, AUSTRAL, AU",3,Modern Slavery Statement,Low,0.0
TPF Sports (HK) Ltd,,human_rights,Elevated,Moderate Weak,0,CHN| HKG| IND,High,Apparel Accessories and Other Apparel Manufacturing| Cut and Sew Apparel Contractors| Other Apparel Knitting Mills| Other Cut and Sew Apparel Manufacturing,Elevated,Freight fee| Mens Shirts| Mens slacks or trousers or shorts| Tshirts| Womens shirts or blouses,High,1115066.0,high,Conflict Mineral| PFAS,CSDDD| PFAS| UK MSA| Water Pollution Direct| Water Pollution Supply Chain| Water Quantity Direct| Water Quantity Supply Chain,Freight & Logistics| Various Apparel & Equipment,310061,Cricket Australia,0.83,0,0.3,0.65231,1.0,0.7655614762008349,2021-10-19 20:18:52 UTC,2021-10-19 20:18:53 UTC,57,0,https://app.frdm.co/supplier_link/signin?linked_company_id=57&supplier_id=310061,"UNIT 713 , 7TH FLOOR , EAST OCEAN CENTRE , 98 GRANVILLE RD , TSIM SHA TSUI EAST , KOWLOON , HK| UNIT 713, 7TH FLOOR, EAST OCEAN CENTRE, 98 GRANVILLE RD, TSIM SHA TSUI EAST, KOWLOON, HONG KONG, HK",0,,Low,0.07692307692307693
LaunchDarkly,,human_rights,Elevated,Moderate Weak,41,USA,Low,Software Publishers,Low,Electrical System Services| Software,Moderate,15737.0,,Conflict Mineral,Data Breach High Incident| Political Risk Liability| Water Quantity Supply Chain,Software Licenses & Subscriptions,310112,Cricket Australia,0.83,41,0.308,0.17059,0.01,0.5267794770916341,2021-10-19 20:38:35 UTC,2021-10-19 20:38:36 UTC,57,0,https://app.frdm.co/supplier_link/signin?linked_company_id=57&supplier_id=310112,"1714 Franklin Street Suite 100-140, Oakland CA 94612, USA| 1999 Harrison Street Suite 1100, Oakland, CA, 94612, USA| 1999 HARRISON ST STE 1100, OAKLAND, CA, 94612-4708, USA",0,,Moderate High,0.625
TPF Sports (Aust) Pty Ltd,,human_rights,Elevated,Moderate Weak,0,AUS| CHN| ITA,High,"Apparel Accessories and Other Apparel Manufacturing| Cut and Sew Apparel Contractors| Other Apparel Knitting Mills| Other Cut and Sew Apparel Manufacturing| Process, Physical Distribution, and Logistics Consulting Services| Scheduled Freight Air Transportation",Elevated,Backpacks| Banners| Caps| Coats and jackets| Glass bottles or vials| Hats| Ladies Tshirt| Mens Tshirts| Plastic bottles or vials| Sunglasses| Tshirts| Umbrellas| Waterproof jacket or raincoat| Wrist watches,High,416617.0,high,Conflict Mineral| Deforestation| PFAS,CSDDD| Data Breach High Incident| PFAS| UK MSA| Water Pollution Direct| Water Pollution Supply Chain| Water Quantity Direct| Water Quantity Supply Chain,Various Apparel & Equipment,310078,Cricket Australia,0.82,0,0.34,0.65231,1.0,0.714112518175109,2021-10-19 20:23:41 UTC,2021-10-19 20:23:41 UTC,57,0,https://app.frdm.co/supplier_link/signin?linked_company_id=57&supplier_id=310078,"25 ST EDMONDS RD, Melbourne, AU, 3181| ABN: 31 600 417 696, LEVEL 1, 33-41 BALMAIN ST, CREMORNE, VIC 3121, AUSTRALIA, AU| Victoria, 3121",0,Modern Slavery Statement,Low,0.0
Kookaburra Sport Pty Ltd,"",human_rights,Elevated,Moderate Weak,0,AUS| CHN| IND,High,Apparel Accessories and Other Apparel Manufacturing| Cut and Sew Apparel Contractors| General Rental Centers| Other Apparel Knitting Mills| Other Commercial and Industrial Machinery and Equipment Rental and Leasing| Other Cut and Sew Apparel Manufacturing| Sporting and Athletic Goods Manufacturing| Sporting and Recreational Goods and Supplies Merchant Wholesalers| Sporting Goods Stores,Elevated,Hats| Mens Shirts| Mens slacks or trousers or shorts| Tshirts| Womens shirts or blouses,Elevated,366000.0,high,Conflict Mineral| PFAS,CBAM| CSDDD| Data Breach Vulnerability| EUBR| PFAS| Political Risk Liability| UK MSA| Water Pollution Direct| Water Pollution Supply Chain| Water Quantity Direct| Water Quantity Supply Chain,Equipment,88877,Cricket Australia,0.81,0,0.3,0.65231,1.0,0.9326242005844974,2020-11-23 19:33:55 UTC,2021-10-19 19:55:39 UTC,57,0,https://app.frdm.co/supplier_link/signin?linked_company_id=57&supplier_id=88877,"218 Chesterville Road Vic 3189 Australia| 3 BRAKEY ROAD, WELDON NORTH INDUSTRIAL ESTATE, CORBY, NORTHAMPTONSHIRE, NN17 5LU| BRAKEY ROAD, WELDON NORTH INDUSTRIAL EST, CORBY, NORTHAMPTONSHIRE",0,,Low,0.0
Zing International Pty Ltd,,human_rights,Elevated,Moderate Weak,31,AUS| CHN,High,General Rental Centers| Other Commercial and Industrial Machinery and Equipment Rental and Leasing| Sporting and Athletic Goods Manufacturing| Sporting and Recreational Goods and Supplies Merchant Wholesalers| Sporting Goods Stores,Elevated,,,190600.0,high,,CBAM| Data Breach Vulnerability| EUBR| PFAS| Political Risk Liability| UK MSA,Equipment,88876,Cricket Australia,0.81,31,0.29600000000000004,0.65231,0.96487,,2020-11-23 19:32:29 UTC,2021-10-19 21:21:32 UTC,57,0,https://app.frdm.co/supplier_link/signin?linked_company_id=57&supplier_id=88876,,0,,,
Designs to You Pty Ltd,"",human_rights,High,Moderate Weak,0,AUS| CHN,High,Apparel Accessories and Other Apparel Manufacturing| Cut and Sew Apparel Contractors| Other Apparel Knitting Mills| Other Cut and Sew Apparel Manufacturing,Elevated,Caps| Hats| Ladies Tshirt| Mens Tshirts| Tshirts| Umbrellas,Elevated,355000.0,medium,PFAS,CSDDD| PFAS| UK MSA| Water Pollution Direct| Water Pollution Supply Chain| Water Quantity Direct| Water Quantity Supply Chain,Apparel| Top50,38664,Cricket Australia,0.79,0,0.3,0.65231,1.0,0.8303563489769864,2020-06-24 16:30:06 UTC,2021-10-19 18:45:22 UTC,57,0,https://app.frdm.co/supplier_link/signin?linked_company_id=57&supplier_id=38664,"Victoria, 3178",0,,,
Vodafone Pty Ltd,,human_rights,High,Moderate Weak,0,AUS| CHN,High,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers| Computer Storage Device Manufacturing| Electronic Computer Manufacturing| Satellite Telecommunications| Telecommunications Resellers| Telephone Apparatus Manufacturing,Elevated,Cellular Telephone Services| Local And Long Distance Telephone Communications,Low Moderate,179550.0,high,,Australia MSA| CBAM| Conflict Mineral| Data Breach High Incident| Data Breach Vulnerability| EUBR| Political Risk Liability| UFLPA| UK MSA| Water Pollution Supply Chain| Water Quantity Supply Chain| WEEE,Communications,309837,Cricket Australia,0.79,0,0.3,0.65231,1.0,0.2858382812816533,2021-10-19 19:13:52 UTC,2021-10-19 19:13:52 UTC,57,0,https://app.frdm.co/supplier_link/signin?linked_company_id=57&supplier_id=309837,"CHATSWOOD, Australia| GBR| New South Wales, 2060| New South Wales, Australia| VODAFONE HOUSE, THE CONNECTION, NEWBURY, BERKSHIRE X0 RG14 2FN| Vodafone House   The Connection Newbury Berks RG14 2FN UNITED KINGDOM",3,,Low,0.0
Body Science International Pty Ltd,"",human_rights,High,Moderate Weak,32,AUS| CHN,High,Drugs and Druggists' Sundries Merchant Wholesalers| Pharmaceutical Preparation Manufacturing,Elevated,,,10500.0,low,,Data Breach Vulnerability| Energy Star| Water Pollution Direct| Water Pollution Supply Chain| Water Quantity Direct| Water Quantity Supply Chain,Software Licenses & Subscriptions,310042,Cricket Australia,0.79,32,0.264,0.65231,0.92085,,2021-10-19 20:13:16 UTC,2021-10-19 20:13:17 UTC,57,0,https://app.frdm.co/supplier_link/signin?linked_company_id=57&supplier_id=310042,,0,,,
Cse Crosscom,"",human_rights,High,Moderate Weak,0,AUS| CHN| VNM,High,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers| Computer Storage Device Manufacturing| Electronic Computer Manufacturing| Sporting and Athletic Goods Manufacturing| Sporting and Recreational Goods and Supplies Merchant Wholesalers| Sporting Goods Stores| Telephone Apparatus Manufacturing,Elevated,Antenna accessory| Battery chargers| Electric lead wires or cables| Lithium batteries| Two way radios,High,4100.0,low,Conflict Mineral| Deforestation,Australia MSA| CBAM| Conflict Mineral| Data Breach Vulnerability| EUBR| PFAS| UFLPA| UK MSA| Water Pollution Supply Chain| Water Quantity Supply Chain| WEEE,Equipment,29568,Cricket Australia,0.78,0,0.3,0.65231,1.0,0.764624528364892,2020-03-21 19:25:20 UTC,2021-10-19 20:26:19 UTC,57,0,https://app.frdm.co/supplier_link/signin?linked_company_id=57&supplier_id=29568,"45 KING ROAD| 45 KING ROAD | 45 KING ROAD OSBORNE PARK WA 6017, AUS| Western Australia, 6005",0,,,
Mazing Merch Pty Ltd,,human_rights,High,Moderate Weak,0,AUS| BGD| CHN| IND| VNM,High,Apparel Manufacturing,Elevated,,,,medium,,CSDDD| PFAS| UK MSA| Water Pollution Direct| Water Pollution Supply Chain| Water Quantity Direct| Water Quantity Supply Chain,,523831,Cricket Australia,0.78,0,0.24,0.65231,1.0,,2022-09-29 03:40:55 UTC,2022-09-29 03:40:55 UTC,57,0,https://app.frdm.co/supplier_link/signin?linked_company_id=57&supplier_id=523831,"5900 BALCONES DR STE 100, Austin TX 78731-4298, USA| 5900 BALCONES DR STE 6241, AUSTIN TX 78731-4257, USA",3,Modern Slavery Statement,,
Computers Now Pty Ltd,"",human_rights,High,Moderate Weak,0,AUS| CHN| PHL,High,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers| Computer Storage Device Manufacturing| Electronic Computer Manufacturing| Software Publishers| Telephone Apparatus Manufacturing,Elevated,Bluetooth universal serial bus USB adapter| Computer bags| Computer cable| Computer mouse| Computer peripheral kit| Computer servers| Desktop computers| Docking stations| Flash memory storage card| Keyboards| Liquid crystal display LCD panels or monitors| Network switches| Paint brushes| Phone headsets| Tablet computers| Televisions| Touch screen monitors| Videoconferencing systems,High,1150000.0,high,Conflict Mineral| PFAS,Australia MSA| CBAM| Conflict Mineral| Data Breach High Incident| Data Breach Vulnerability| EUBR| Political Risk Liability| UFLPA| UK MSA| Water Pollution Supply Chain| Water Quantity Supply Chain| WEEE,Hardware| Top50,23336,Cricket Australia,0.77,0,0.3,0.65231,1.0,0.7290362211906016,2020-02-29 18:34:53 UTC,2021-10-19 20:24:54 UTC,57,0,https://app.frdm.co/supplier_link/signin?linked_company_id=57&supplier_id=23336,"Victoria, 3168",0,,,
SCHEPISI COMMUNICATIONS PTY LTD,,human_rights,High,Moderate Weak,0,AUS| CHN,High,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers| Computer Storage Device Manufacturing| Electronic Computer Manufacturing| Telephone Apparatus Manufacturing,Elevated,Computer accessory kits| Computer mouse| Computer peripheral kit| Desktop computers| Docking stations| Keyboards| Tablet computers| Voice microphones for computers,High,13206.0,,Conflict Mineral| PFAS,Australia MSA| CBAM| Conflict Mineral| Data Breach Vulnerability| EUBR| UFLPA| UK MSA| Water Pollution Supply Chain| Water Quantity Supply Chain| WEEE,Hardware,258028,Cricket Australia,0.77,0,0.3,0.65231,1.0,0.7396822551858719,2021-08-13 17:23:27 UTC,2021-10-19 20:27:30 UTC,57,0,https://app.frdm.co/supplier_link/signin?linked_company_id=57&supplier_id=258028,"Victoria, 3124",0,,,
Motum Brands Pty Ltd,,human_rights,High,Moderate Weak,0,AUS| CHN| IND,High,"Apparel Accessories and Other Apparel Manufacturing| Cut and Sew Apparel Contractors| Gift, Novelty, and Souvenir Stores| Other Apparel Knitting Mills| Other Cut and Sew Apparel Manufacturing| Other Services Related to Advertising",Elevated,Backpacks| Badges or badge holders| Hand towels| Toy balloons or balls,High,22464.0,,Conflict Mineral| Deforestation| PFAS,CSDDD| Data Breach High Incident| PFAS| UK MSA| Water Pollution Direct| Water Pollution Supply Chain| Water Quantity Direct| Water Quantity Supply Chain,Merchandise,88913,Cricket Australia,0.76,0,0.3,0.65231,1.0,0.6967541567214922,2020-11-23 20:47:46 UTC,2021-10-19 18:46:25 UTC,57,0,https://app.frdm.co/supplier_link/signin?linked_company_id=57&supplier_id=88913,"Floor 3, 15b Vestey Drive, Mount Wellington, Auckland, NZ, 980770, 1060| New South Wales, 2011",0,,Low,0.0
Catapult Sports Pty Ltd,"",human_rights,High,Moderate Weak,47,AUS| CHN,High,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers| Software Publishers| Sporting and Recreational Goods and Supplies Merchant Wholesalers,Elevated,Battery chargers| Cameras| Camera tripods| Docking stations| Radio frequency transmitters or receivers| Wearable computing devices,High,235000.0,medium,Conflict Mineral| PFAS,CBAM| Data Breach High Incident| Data Breach Vulnerability| EUBR| PFAS| Political Risk Liability| Water Quantity Supply Chain,Medical & Sport Science,88905,Cricket Australia,0.76,47,0.29200000000000004,0.65231,1.0,0.6463003302923667,2020-11-23 20:32:36 UTC,2021-10-19 20:01:18 UTC,57,0,https://app.frdm.co/supplier_link/signin?linked_company_id=57&supplier_id=88905,"181 BALLARDVALE STREET WILMINGTON MA 01887 US| 34 BOAR LANE, LEEDS| SUITE 1 CALLS WHARF, 2 THE CALLS, LEEDS| Victoria, 3121| Victoria, 3181",0,,Low,0.0
Toyota Fleet Management,,human_rights,High,Moderate Weak,0,AUS,Low,General Automotive Repair| Passenger Car Leasing,Low,Vehicle body repair or painting service| Vehicle leasing of sedans or coupes or station wagons| Vehicle maintenance and repair services| Vehicle Rental,Low,3224.0,,,Data Breach High Incident| Data Breach Vulnerability| Political Risk Liability,Various Motor Vehicle,257723,Cricket Australia,0.75,0,0.3,0.09444,0.1,0.19326699941985306,2021-08-09 09:32:47 UTC,2021-10-19 20:41:02 UTC,57,0,https://app.frdm.co/supplier_link/signin?linked_company_id=57&supplier_id=257723,"6-1 Ushijima-Cho, Nishi-Ku, Nagoya| 愛知県名古屋市西区牛島町６番１号| 牛島町6番1号名古屋ルーセントタワー, 愛知県 名古屋市西区, 451-6015, JP",25,,Moderate,0.5
