Supplier,internal_company_code,Risk Type,topline_risk_score,transparency_score,frdm_score,all_country_risk_score,all_industry_risk_score,purchase_risk,all_alerts_count,trade_partner_risk,Spend Amount,Spend Level,supplier_id,id,parent_id,created_at,created_at,Countries,Industries,Products,Product Regulations,Industry Regulations,Documents,Warnings
ALTAIR,0,human_rights,1.0,0.29600000000000004,42,0.65231,1.0,0.9298296095551416,0,0.19711180124223607,393750.0,,151503,52,0,2021-04-27 15:20:15 UTC,2021-04-27 16:06:06 UTC,CHN| JPN| USA,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers| Industrial Design Services| Software Publishers,Computer equipment and accessories| Computers| Computer servers,Conflict Mineral,CBAM| Data Breach High Incident| Data Breach Vulnerability| EUBR| Political Risk Liability| Water Quantity Supply Chain,,
AURORA BEARING CO_OSH,0,human_rights,1.0,0.32800000000000007,41,0.72024,0.8,1.0,0,0.38273684210526276,500753.0,,151551,52,0,2021-04-27 15:20:18 UTC,2021-04-27 16:06:11 UTC,ARE| AUS| BEL| BGD| CAN| CHL| CHN| CZE| DEU| FRA| GBR| IND| ITA| JAM| JPN| KOR| MEX| MYS| NLD| PAN| POL| ROU| RUS| SGP| SWE| THA| TWN| UKR| USA| VNM| ZAF,Ball and Roller Bearing Manufacturing| Industrial Machinery and Equipment Merchant Wholesalers,Manufacture of machinery,,CBAM| CSDDD| Data Breach Vulnerability| EUBR| Water Pollution Direct| Water Pollution Supply Chain,,
ZAPI S.P.A.,0,human_rights,1.0,0.308,61,0.65231,1.0,0.8642857142857144,0,0.41444444444444434,672189.0,,150070,52,0,2021-04-27 15:18:36 UTC,2021-04-27 16:03:33 UTC,CHN| ITA,Electron Tube Manufacturing,Motor vehicles,Conflict Mineral,Australia MSA| Canada MSA| CBAM| Conflict Mineral| CSRD| Dutch CLDD| EUBR| EUFLR| LKSG| UFLPA| UK MSA| WEEE,,
CARLO GAVAZZI INC,0,human_rights,1.0,0.24,29,0.65231,1.0,,0,0.45682926829268283,785967.0,,150707,52,0,2021-04-27 15:19:19 UTC,2021-04-27 16:04:42 UTC,CHN| COL| HUN| USA,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers| Other Electronic Parts and Equipment Merchant Wholesalers",,,CBAM| Conflict Mineral| Data Breach Vulnerability| EUBR,,BIS Critical Minerals| Export Restrictions| Import Restrictions| Investment Regulations| Military Application Commodity| Subsidy Distortion| Tariff Escalation| UFLPA Critical Minerals| US Department of Labor Product Watchlist
BRIDGESTONE CORPORATION,0,human_rights,1.0,0.28800000000000003,61,0.65231,1.0,0.8799336805555555,0,0.29417999999999955,1234260.0,,151251,52,0,2021-04-27 15:19:56 UTC,2021-04-27 16:05:39 UTC,CHN| USA,Synthetic Rubber Manufacturing| Tire Dealers| Tire Manufacturing (except Retreading),Tires and tire tubes,PFAS,Deforestation| Energy Star| PFAS| Water Pollution Direct| Water Pollution Supply Chain| Water Quantity Direct| Water Quantity Supply Chain,,Export Restrictions| Import Restrictions| Investment Regulations| Severe Tariff Measures| Tariff Escalation| Tariff Quota| Tariff Volatility| Trade Barriers| US Department of Labor Product Watchlist
"CISCO SYSTEMS, INC.",0,human_rights,1.0,0.5,0,0.65475,1.0,0.7162305453140939,40,0.3226086956521738,1262740.0,,151244,52,0,2021-04-27 15:19:56 UTC,2021-04-27 16:05:39 UTC,CHN| HKG| IDN| IND| USA,Computer Terminal and Other Computer Peripheral Equipment Manufacturing| Sales Financing| Semiconductor and Related Device Manufacturing,Semiconductor fuse,Conflict Mineral,Australia MSA| Canada MSA| CBAM| Conflict Mineral| CSRD| Dutch CLDD| EUBR| EUFLR| LKSG| Political Risk Liability| UFLPA| UK MSA| Water Pollution Direct| Water Pollution Supply Chain| Water Quantity Direct| Water Quantity Supply Chain| WEEE,,
"NISSAN MOTOR CO., LTD.",0,human_rights,1.0,0.3,60,0.4893,1.0,0.22125545454545456,50,0.239247311827957,1433154.0,,151337,52,0,2021-04-27 15:20:03 UTC,2021-04-27 16:05:48 UTC,IND| JPN| KOR| USA,Automotive Parts and Accessories Stores,Transportation components and systems,Conflict Mineral,Conflict Mineral,,
WESCO INTERNATIONAL INC,0,human_rights,1.0,0.37200000000000005,61,0.65231,1.0,0.989090909090909,0,0.38285714285714284,1577076.0,,150106,52,0,2021-04-27 15:18:38 UTC,2021-04-27 16:03:37 UTC,CHN| COL| HUN| USA,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers| Other Communications Equipment Manufacturing| Other Construction Material Merchant Wholesalers",Communications Devices and Accessories,Conflict Mineral,Australia MSA| CBAM| Conflict Mineral| Data Breach Vulnerability| Deforestation| EUBR| UFLPA| UK MSA| WEEE,Code of Conduct,Investment Regulations| Trade Restrictions
FEDERAL SIGNAL CORPORATION_OSH,0,human_rights,1.0,0.21200000000000002,30,0.44768,1.0,,0,0.45,2011321.0,,152011,52,0,2021-04-27 15:20:51 UTC,2021-04-27 16:06:59 UTC,BRA| USA,Electrical Equipment Manufacturing| Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,,,Australia MSA| CBAM| Conflict Mineral| EUBR| UFLPA| UK MSA| Water Pollution Supply Chain| Water Quantity Supply Chain| WEEE,,
TOYOTA MOTOR CORPORATION,0,human_rights,1.0,0.264,0,0.17059,1.0,0.8642857142857144,25,0.13346000000000002,2216920.0,,150542,52,0,2021-04-27 15:19:08 UTC,2021-04-27 16:04:25 UTC,USA,New Car Dealers,Motor vehicles,Conflict Mineral,Australia MSA,,BIS Critical Minerals| EPA List of Lists| Export Restrictions| Import Restrictions| Investment Regulations| Labor Dispute Activity| Military Application Commodity| Subsidy Distortion| Tariff Escalation| UFLPA Critical Minerals| US Department of Labor Product Watchlist
G S HYDRAULICS INC.,0,human_rights,1.0,0.24400000000000002,30,0.65231,1.0,,0,0.386,2305634.0,,151528,52,0,2021-04-27 15:20:17 UTC,2021-04-27 16:06:09 UTC,CHN| COL| HUN| USA,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers| Executive Search Services| Machinery Manufacturing",,,CBAM| Conflict Mineral| Data Breach Vulnerability| EUBR| Water Pollution Direct| Water Pollution Supply Chain| Water Quantity Supply Chain,,
TATA MOTORS LIMITED,0,human_rights,1.0,0.42800000000000005,34,0.65231,1.0,1.0,3,0.341520681265207,2480376.0,,149916,52,0,2021-04-27 15:18:27 UTC,2021-04-27 16:03:17 UTC,CHN| JPN| USA,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers| Electronics Stores,Consumer electronics,Conflict Mineral,CBAM| Data Breach Vulnerability| EUBR,Code of Conduct,BIS Critical Minerals| Export Restrictions| Export to State Owned Enterprise| Forced Labor Risk (Entity Located in Xinjiang)| Forced Labor Risk (Subtier Trade History with Entity from Sheffield Hallam University Forced Labor Reports)| Forced Labor Risk (Subtier Trade History with WRO Entity)| Forced Labor Risk (Subtier Trading History with Xinjiang Entities)| Import Restrictions| Investment Regulations| Labor Dispute Activity| Military Application Commodity| Related to SOE| Severe Armed Conflict| Severe Tariff Measures| Subsidy Distortion| Tariff Escalation| Tariff Quota| Tariff Volatility| Terrorism Impact| Trade Barriers| UFLPA Critical Minerals| US Department of Labor Product Watchlist
TIMKEN_OSH,0,human_rights,1.0,0.23200000000000004,31,0.72024,0.82347,,0,0.38273684210526276,2730297.0,,150194,52,0,2021-04-27 15:18:44 UTC,2021-04-27 16:03:46 UTC,ARE| AUS| BEL| BGD| CAN| CHL| CHN| CZE| DEU| FRA| GBR| IND| ITA| JAM| JPN| KOR| MEX| NLD| PAN| POL| ROU| RUS| SGP| SWE| THA| TWN| UKR| USA| VNM| ZAF,All Other Miscellaneous Manufacturing| Automotive Transmission Repair| Ball and Roller Bearing Manufacturing,,,CSDDD| Data Breach High Incident| Data Breach Vulnerability| UK MSA| Water Pollution Direct| Water Pollution Supply Chain,,
MODINEER CO,0,human_rights,1.0,0.264,82,0.65231,0.85834,1.0,0,0.2475,3336917.0,,151192,52,0,2021-04-27 15:19:52 UTC,2021-04-27 16:05:33 UTC,CHN| KOR| USA,All Other Miscellaneous General Purpose Machinery Manufacturing| Custom Roll Forming| Rolled Steel Shape Manufacturing,Manufacture of machinery,,Canada MSA| CSDDD| CSRD| Dutch CLDD| Energy Star| EUFLR| LKSG| Water Pollution Direct| Water Pollution Supply Chain| Water Quantity Supply Chain,,
MICHELIN SCA,0,human_rights,1.0,0.28,78,0.4893,1.0,0.8799336805555555,0,0.54,4571692.0,,149936,52,0,2021-04-27 15:18:28 UTC,2021-04-27 16:03:19 UTC,BEL| IND| JPN| KOR| USA,All Other General Merchandise Stores| Automotive Parts and Accessories Stores| Tire and Tube Merchant Wholesalers| Tire Manufacturing (except Retreading),Tires and tire tubes,PFAS,CBAM| Conflict Mineral| Data Breach Vulnerability| Deforestation| EUBR| PFAS| Water Pollution Supply Chain| Water Quantity Supply Chain,,
"OHCP MPG IV, LTD.",0,human_rights,1.0,0.22400000000000003,30,0.65231,1.0,,0,0.435,9690682.0,,151969,52,0,2021-04-27 15:20:48 UTC,2021-04-27 16:06:55 UTC,BRA| CHN| COL| HUN| USA,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers| Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing",,,Australia MSA| CBAM| Conflict Mineral| Data Breach Vulnerability| EUBR| UFLPA| UK MSA| Water Pollution Supply Chain| Water Quantity Supply Chain| WEEE,,
WHELEN ENGINEERING CO INC,0,human_rights,1.0,0.29600000000000004,42,0.4893,1.0,0.989090909090909,3,0.2383333333333333,13403578.0,,150077,52,0,2021-04-27 15:18:36 UTC,2021-04-27 16:03:34 UTC,IND| USA,Other Aircraft Parts and Auxiliary Equipment Manufacturing| Other Communications Equipment Manufacturing,Communications Devices and Accessories,Conflict Mineral,Australia MSA| CBAM| Conflict Mineral| EUBR| UFLPA| UK MSA| Water Pollution Direct| Water Pollution Supply Chain| Water Quantity Direct| Water Quantity Supply Chain| WEEE,,
HAHN-KOLB (TIANJIN) INTL TRD CO LTD,10,human_rights,1.0,0.05600000000000001,0,0.65231,,,0,0.38000000000000006,,,633423,52,0,2023-07-13 09:47:02 UTC,2023-07-13 09:47:02 UTC,CHN,,,,,,
"SHENZHEN ACE BATTERY CO., LTD",203377,human_rights,1.0,0.17600000000000002,7,0.65231,1.0,,3,0.7466666666666667,,,633410,52,0,2023-07-13 09:47:00 UTC,2023-07-13 09:47:00 UTC,CHN,Battery Manufacturing ,,,CBAM| EUBR| UFLPA| UK MSA| Water Pollution Direct| Water Pollution Supply Chain| Water Quantity Supply Chain| WEEE,,
"CAMSO ENTERPRISE MANAGEMENT (China) Co., Ltd",2462102,human_rights,1.0,0.168,4,0.65231,1.0,,0,0.6133333333333333,,,633806,52,0,2023-07-13 09:48:18 UTC,2023-07-13 09:48:18 UTC,CHN,Tire Manufacturing (except Retreading),,,Deforestation| PFAS| Water Pollution Supply Chain| Water Quantity Supply Chain,,Forced Labor Risk (Subtier Trading History with Xinjiang Entities)
ZF SUSPENSION TECHNOLOGY GUADALAJARA,315015446,human_rights,1.0,0.16,0,0.47697,0.9,,0,0.3559045725646121,,,634014,52,0,2023-07-13 09:49:01 UTC,2023-07-13 09:49:01 UTC,MEX,Motor Vehicle Transmission and Power Train Parts Manufacturing,,,CBAM| Conflict Mineral| EUBR,,Export to State Owned Enterprise| Forced Labor Risk (Subtier Trade History with Entity from Sheffield Hallam University Forced Labor Reports)| Forced Labor Risk (Subtier Trading History with Xinjiang Entities)| Forced Labor Risk (Subtier Trading History with Xinjiang Import Controls Designated Entity)
BILEN EGZOST SANAYI VE TICARET ANONIM SIRKETI,366184385,human_rights,1.0,0.032,1,0.49188,,,0,0.41478260869565214,,,633908,52,0,2023-07-13 09:48:40 UTC,2023-07-13 09:48:40 UTC,TUR,,,,,,
FLUID CONTROL SERVICES INC,4139,human_rights,1.0,0.29600000000000004,40,0.65231,0.8,1.0,0,0.3407692307692308,160748.0,,150866,52,0,2021-04-27 15:19:30 UTC,2021-04-27 16:04:59 UTC,CHN| ESP| IND| JPN| LUX| TUR| TWN| USA,Fluid Power Cylinder and Actuator Manufacturing| Fluid Power Valve and Hose Fitting Manufacturing| Industrial Machinery and Equipment Merchant Wholesalers,Manufacture of machinery,,CBAM| CSDDD| Data Breach Vulnerability| EUBR| Water Pollution Direct| Water Pollution Supply Chain| Water Quantity Supply Chain,,
"Bucher Hydraulics (Wuxi) Co., Ltd",4146,human_rights,1.0,0.14,7,0.65231,0.7059,,0,0.65,,,633957,52,0,2023-07-13 09:48:50 UTC,2023-07-13 09:48:50 UTC,CHN,Fluid Power Pump and Motor Manufacturing,,,Water Pollution Direct| Water Pollution Supply Chain| Water Quantity Supply Chain,,Export to Sanctioned Entity
YMER TECHNOLOGY,4156,human_rights,1.0,0.052000000000000005,0,0.65231,,,0,0.49214285714285716,,,633966,52,0,2023-07-13 09:48:52 UTC,2023-07-13 09:48:52 UTC,CHN,,,,,,
SHANTUI CONSTRUCTION,4160,human_rights,1.0,0.07200000000000001,0,0.65231,,,0,0.8707142857142852,,,633970,52,0,2023-07-13 09:48:52 UTC,2023-07-13 09:48:52 UTC,CHN,,,,,,Forced Labor Risk (Owner of Xinjiang-based entity)| Government Contractors in BIS MEU Country| Owned by State Owned Enterprise| Related to SOE
"Shanghai Bolder Battery Co., Ltd.",418805533,human_rights,1.0,0.064,0,0.65231,,,0,0.66,,,633979,52,0,2023-07-13 09:48:54 UTC,2023-07-13 09:48:54 UTC,CHN,,,,,,
"Shanghai Omni Gear Co., Ltd.",421010026,human_rights,1.0,0.028000000000000004,0,0.65231,,,0,0.75,,,633992,52,0,2023-07-13 09:48:56 UTC,2023-07-13 09:48:56 UTC,CHN,,,,,,
Caterpillar Fluid Systems SRL,4441,human_rights,1.0,0.04,0,,,,0,0.8715384615384616,,,634058,52,0,2023-07-13 09:49:08 UTC,2023-07-13 09:49:08 UTC,,,,,,,Forced Labor Risk (Subtier Trade History with Entity from Sheffield Hallam University Forced Labor Reports)| Forced Labor Risk (Subtier Trading History with Xinjiang Entities)| Tariff Quota
HITACHI ASTEMO EL MARQUES S. DE R.L. DE C.V.,4476,human_rights,1.0,0.14,0,0.47697,0.9,,0,0.3392783505154639,,,634075,52,0,2023-07-13 09:49:11 UTC,2023-07-13 09:49:11 UTC,MEX,Motor Vehicle Brake System Manufacturing,,,CBAM| Conflict Mineral| EUBR,,
Truck Lite S. De r.l. De c.v.,4486,human_rights,1.0,0.15600000000000003,0,0.47697,0.9,,6,0.36797872340425547,,,537788,52,0,2023-01-04 19:56:02 UTC,2023-01-04 19:56:02 UTC,MEX,Motor Vehicle Electrical and Electronic Equipment Manufacturing| Motor Vehicle Parts Manufacturing,,,CBAM| Conflict Mineral| EUBR,,Forced Labor Risk (Subtier Trade History with Entity from Sheffield Hallam University Forced Labor Reports)| Forced Labor Risk (Subtier Trading History with Xinjiang Entities)| Forced Labor Risk (Subtier Trading History with Xinjiang Import Controls Designated Entity)| Related to SOE
"MTA Automotive Solutions México, S.A. de C.V.",4508,human_rights,1.0,0.188,0,0.47697,1.0,,0,0.525,,,634086,52,0,2023-07-13 09:49:14 UTC,2023-07-13 09:49:14 UTC,MEX,Switchgear and Switchboard Apparatus Manufacturing,,,CBAM| EUBR| UFLPA| UK MSA| Water Pollution Supply Chain| Water Quantity Supply Chain| WEEE,,Forced Labor Risk (Subtier Trading History with Xinjiang Entities)
Tristone Flowtech Mexico,4799,human_rights,1.0,0.132,0,0.47697,0.9293,,0,0.38184049079754634,,,634150,52,0,2023-07-13 09:49:27 UTC,2023-07-13 09:49:27 UTC,MEX,Rubber and Plastics Hoses and Belting Manufacturing,,,Deforestation| PFAS| Water Pollution Supply Chain| Water Quantity Supply Chain,,Forced Labor Risk (Subtier Trade History with Entity from Sheffield Hallam University Forced Labor Reports)| Forced Labor Risk (Subtier Trading History with Xinjiang Entities)| Forced Labor Risk (Subtier Trading History with Xinjiang Import Controls Designated Entity)| Severe Armed Conflict| Trade Barriers
"GGB Bearing Technology (Suzhou) Co., Ltd.",527767561,human_rights,1.0,0.04800000000000001,1,0.65231,,,0,0.27,,,634272,52,0,2023-07-13 09:49:50 UTC,2023-07-13 09:49:50 UTC,CHN,,,,,,
"Jiangsu Hengli Hydraulic Co.,Ltd.",528188128,human_rights,1.0,0.136,10,0.65231,1.0,,0,,,,634276,52,0,2023-07-13 09:49:51 UTC,2023-07-13 09:49:51 UTC,CHN,Textile and Fabric Finishing and Fabric Coating Mills,,,BLS Nonfatal| CSDDD| PFAS| Water Pollution Direct| Water Pollution Supply Chain| Water Quantity Direct| Water Quantity Supply Chain,,Forced Labor Risk (Subtier Trading History with Xinjiang Entities)| Government Contractors in BIS MEU Country| Related to Sanctioned| Related to SOE
"WESCO (Suzhou) Trading Co., Ltd.",528195901,human_rights,1.0,0.09600000000000002,0,0.65231,,,0,0.446,,,634277,52,0,2023-07-13 09:49:51 UTC,2023-07-13 09:49:51 UTC,CHN,,,,,,
"Gates Fluid Power Technologies (Changzhou) Co., Lt",529171060,human_rights,1.0,0.10400000000000001,1,0.65231,,,0,0.31333333333333335,,,634282,52,0,2023-07-13 09:49:52 UTC,2023-07-13 09:49:52 UTC,CHN,,,,,,
TECHKING TIRES LIMITED,529714257,human_rights,1.0,0.20400000000000001,30,0.65231,1.0,,6,0.4933333333333334,1404069.0,,151219,52,0,2021-04-27 15:19:54 UTC,2021-04-27 16:05:36 UTC,CHN,Broadwoven Fabric Mills,,,Canada MSA| CSDDD| CSRD| Dutch CLDD| EUFLR| LKSG| PFAS| UK MSA| Water Pollution Direct| Water Pollution Supply Chain| Water Quantity Direct| Water Quantity Supply Chain,,Export to Sanctioned Entity| Export to State Owned Enterprise| Related to Sanctioned
SGS-CSTC Standards Technical Services (Tianjin) Co,530400876,human_rights,1.0,0.05600000000000001,0,0.65231,,,0,0.48333333333333334,,,634291,52,0,2023-07-13 09:49:53 UTC,2023-07-13 09:49:53 UTC,CHN,,,,,,
"Suzhou Bucher Hydraulics Co., Ltd.",530535970,human_rights,1.0,0.036000000000000004,0,0.65231,,,0,0.712,,,634293,52,0,2023-07-13 09:49:54 UTC,2023-07-13 09:49:54 UTC,CHN,,,,,,
"Fastenal (Tianjin) International Trading Co.,Ltd.",542951677,human_rights,1.0,0.09200000000000001,0,0.65231,,,0,0.41,,,634330,52,0,2023-07-13 09:50:00 UTC,2023-07-13 09:50:00 UTC,CHN,,,,,,
"Ecco safety group (Suzhou) Co., Ltd.",544306497,human_rights,1.0,0.1,8,0.65231,1.0,,0,0.7949999999999999,,,634338,52,0,2023-07-13 09:50:02 UTC,2023-07-13 09:50:02 UTC,CHN,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers",,,CBAM| Conflict Mineral| Data Breach Vulnerability| EUBR,,
"Bosch Rexroth (Beijing) Hydraulic Co., Ltd.",545256794,human_rights,1.0,0.10400000000000001,7,0.65231,0.7059,,0,0.91,,,634346,52,0,2023-07-13 09:50:03 UTC,2023-07-13 09:50:03 UTC,CHN,Fluid Power Pump and Motor Manufacturing,,,Water Pollution Direct| Water Pollution Supply Chain| Water Quantity Supply Chain,,Owned by State Owned Enterprise
"HEFEI RISEVER MACHINE CO., LTD.",545293292,human_rights,1.0,0.068,2,0.65231,,,0,0.17,,,634350,52,0,2023-07-13 09:50:04 UTC,2023-07-13 09:50:04 UTC,CHN,,,,,,
"Cummins Filtration (Shanghai) Co., Ltd.",545325623,human_rights,1.0,0.06,0,0.65231,,,0,0.7016666666666667,,,634351,52,0,2023-07-13 09:50:04 UTC,2023-07-13 09:50:04 UTC,CHN,,,,,,
"NADFINLO Plastic Industry (Kunshan) Co., Ltd",546261520,human_rights,1.0,0.14400000000000002,3,0.65231,0.9875,,0,0.6266666666666666,,,634354,52,0,2023-07-13 09:50:04 UTC,2023-07-13 09:50:04 UTC,CHN,Plastics and Rubber Products Manufacturing,,,Deforestation| PFAS| Water Pollution Supply Chain| Water Quantity Supply Chain,,Forced Labor Risk (Subtier Trading History with Xinjiang Entities)
"Fortive Setra-ICG (Tianjin) Co., Ltd.",546732090,human_rights,1.0,0.1,0,0.65231,,,0,1.0,,,634356,52,0,2023-07-13 09:50:05 UTC,2023-07-13 09:50:05 UTC,CHN,,,,,,Forced Labor Risk (Subtier Trade History with Entity from Sheffield Hallam University Forced Labor Reports)| Forced Labor Risk (Subtier Trade History with WRO Entity)| Forced Labor Risk (Subtier Trading History with Xinjiang Entities)| Forced Labor Risk (Subtier Trading History with Xinjiang Import Controls Designated Entity)
"Exmile Special Tyre Co., Ltd.",548245932,human_rights,1.0,0.05600000000000001,0,0.65231,,,0,0.7366666666666667,,,634370,52,0,2023-07-13 09:50:08 UTC,2023-07-13 09:50:08 UTC,CHN,,,,,,
"DANA(WUXI)TECHNOLOGY CO.,LTD",554442618,human_rights,1.0,0.04800000000000001,1,0.65231,,,0,0.49,,,634388,52,0,2023-07-13 09:50:11 UTC,2023-07-13 09:50:11 UTC,CHN,,,,,,
"Dana Off-Highway (Yancheng) Drive Systems Co., Ltd",61,human_rights,1.0,0.1,0,0.65231,,,0,1.0,,,634516,52,0,2023-07-13 09:50:36 UTC,2023-07-13 09:50:36 UTC,CHN,,,,,,
POLYHOSE INDIA PRIVATE LIMITED,650666555,human_rights,1.0,0.18,0,0.4893,0.9293,,0,0.47139784946236535,,,634626,52,0,2023-07-13 09:50:58 UTC,2023-07-13 09:50:58 UTC,IND,Rubber and Plastics Hoses and Belting Manufacturing,,,Deforestation| PFAS| Water Pollution Supply Chain| Water Quantity Supply Chain,,Export Restrictions| Forced Labor Risk (Subtier Trade History with Entity from Sheffield Hallam University Forced Labor Reports)| Forced Labor Risk (Subtier Trade History with WRO Entity)| Forced Labor Risk (Subtier Trading History with Xinjiang Entities)| Forced Labor Risk (Subtier Trading History with Xinjiang Import Controls Designated Entity)| Import Restrictions| Labor Dispute Activity| Related to SOE| Severe Armed Conflict| Severe Tariff Measures| Subsidy Distortion| Tariff Escalation| Tariff Quota| Tariff Volatility| Terrorism Impact| Trade Barriers
